"ASSESSMENT_UNIT_ID","PARAM_NAME","ACTION_ID","ACTION_TYPE","OWRD_Basin"
"OR_SR_1801020409_05_107184","PH",42375,"TMDL","Klamath"
"OR_SR_1801020412_05_106990","CHLOROPHYLL-A",42375,"TMDL","Klamath"
"OR_SR_1801020412_05_106990","DISSOLVED OXYGEN",42375,"TMDL","Klamath"
"OR_SR_1801020412_05_106990","PH",42375,"TMDL","Klamath"
"OR_SR_1801020412_88_106991","AMMONIA",42375,"TMDL","Klamath"
"OR_SR_1801020412_88_106991","CHLOROPHYLL-A",42375,"TMDL","Klamath"
"OR_SR_1801020412_88_106991","DISSOLVED OXYGEN",42375,"TMDL","Klamath"
"OR_SR_1801020412_88_106991","HARMFUL ALGAL BLOOMS",42375,"TMDL","Klamath"
"OR_SR_1801020412_88_106991","PH",42375,"TMDL","Klamath"
"OR_SR_1801020412_88_106992","HARMFUL ALGAL BLOOMS",42375,"TMDL","Klamath"
"OR_SR_1801020602_05_107165","AMMONIA",42375,"TMDL","Klamath"
"OR_SR_1801020602_05_107165","CHLOROPHYLL-A",42375,"TMDL","Klamath"
"OR_SR_1801020602_05_107165","DISSOLVED OXYGEN",42375,"TMDL","Klamath"
"OR_SR_1801020602_05_107165","PH",42375,"TMDL","Klamath"
"OR_SR_1801020602_05_107167","CHLOROPHYLL-A",42375,"TMDL","Klamath"
"OR_SR_1801020602_05_107167","PH",42375,"TMDL","Klamath"
"OR_WS_180102010103_05_107012","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102010104_05_107013","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102010401_05_107026","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102010502_05_107033","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102010604_05_107038","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102020405_05_107058","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102020406_05_107059","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102030101_05_107088","DISSOLVED OXYGEN",2352,"TMDL","Klamath"
"OR_WS_180102030101_05_107088","PH",2352,"TMDL","Klamath"
"OR_WS_180102030101_05_107088","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102030102_05_107089","DISSOLVED OXYGEN",2352,"TMDL","Klamath"
"OR_WS_180102030102_05_107089","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102030104_05_107091","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102030105_05_107092","DISSOLVED OXYGEN",2352,"TMDL","Klamath"
"OR_WS_180102030105_05_107092","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102030301_05_107096","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102030309_05_107104","TEMPERATURE",2352,"TMDL","Klamath"
"OR_WS_180102041202_05_107133","DISSOLVED OXYGEN",42375,"TMDL","Klamath"
"OR_WS_180102041202_05_107133","PH",42375,"TMDL","Klamath"
"OR_WS_180102041403_05_107134","AMMONIA",42375,"TMDL","Klamath"
"OR_WS_180102041403_05_107134","CHLOROPHYLL-A",42375,"TMDL","Klamath"
"OR_WS_180102041403_05_107134","DISSOLVED OXYGEN",42375,"TMDL","Klamath"
"OR_WS_180102041403_05_107134","PH",42375,"TMDL","Klamath"
"OR_WS_180102060401_05_107143","AMMONIA",42375,"TMDL","Klamath"
"OR_WS_180102060401_05_107143","DISSOLVED OXYGEN",42375,"TMDL","Klamath"
"OR_WS_180102060401_05_107143","ESCHERICHIA COLI (E. COLI)",35887,"TMDL","Klamath"
"OR_WS_180102060401_05_107143","PH",42375,"TMDL","Klamath"
"OR_LK_1705011607_05_100553","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_LK_1705011613_05_100568","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_LK_1705011803_05_100573","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_SR_1705011502_05_102745","DISSOLVED OXYGEN",39782,"TMDL","Malheur"
"OR_SR_1705011502_05_102745","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_SR_1705011607_05_102752","DISSOLVED OXYGEN",39782,"TMDL","Malheur"
"OR_SR_1705011607_05_102752","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_SR_1705011613_05_102759","DISSOLVED OXYGEN",39782,"TMDL","Malheur"
"OR_SR_1705011613_05_102759","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_SR_1705011702_05_103270","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_SR_1705011704_05_102767","DISSOLVED OXYGEN",39782,"TMDL","Malheur"
"OR_SR_1705011704_05_102767","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_SR_1705011706_05_102769","DISSOLVED OXYGEN",39782,"TMDL","Malheur"
"OR_SR_1705011706_05_102769","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_SR_1705011803_05_102777","DISSOLVED OXYGEN",39782,"TMDL","Malheur"
"OR_SR_1705011803_05_102777","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_SR_1705011904_05_102785","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501150101_05_102966","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501150102_05_103233","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501150103_05_103232","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501150104_05_103269","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501150201_05_102967","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501150203_05_102968","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501150204_05_103272","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501161302_05_103029","DISSOLVED OXYGEN",39782,"TMDL","Malheur"
"OR_WS_170501161302_05_103029","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501161305_05_103032","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501170403_05_103057","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501170601_05_103063","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501170602_05_103064","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501170603_05_103065","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501180304_05_103079","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501190602_05_103095","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170501190603_05_103096","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170502010101_05_103097","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_170502010106_05_103227","ESCHERICHIA COLI (E. COLI)",39782,"TMDL","Malheur"
"OR_WS_171200090405_05_106887","ESCHERICHIA COLI (E. COLI)",9767,"TMDL","Malheur Lake"
"OR_WS_171002060804_02_106406","DISSOLVED OXYGEN",2036,"TMDL","Mid Coast"
"OR_CL_1710020102_106279","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_EB_1710020206_01_107214","ESCHERICHIA COLI (E. COLI)",9447,"TMDL","North Coast"
"OR_EB_1710020206_01_107214","TEMPERATURE",9447,"TMDL","North Coast"
