ASSESSMENT_UNIT_ID,PARAM_NAME,Pollu_ID,ACTION_ID,Pollutant_DEQ.WQS,OWRD_Basin
OR_LK_1706010403_02_100608,"SEDIMENT
",172,489,Sedimentation,NA
OR_LK_1706010410_02_100617,"SEDIMENT
",172,489,Sedimentation,NA
OR_LK_1706010501_02_100618,FECAL COLIFORM,86,39294,Fecal Coliform,NA
OR_SR_1706010101_02_103274,TEMPERATURE,132,10007,Temperature,NA
OR_SR_1706010102_02_103280,TEMPERATURE,132,10007,Temperature,NA
OR_SR_1706010103_02_103282,TEMPERATURE,132,10007,Temperature,NA
OR_SR_1706010401_02_103307,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010401_02_103308,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010401_02_103309,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010401_02_103310,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010401_02_103311,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010402_02_103312,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010402_02_103313,PH,124,489,pH,Grande Ronde
OR_SR_1706010402_02_103313,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010402_02_103314,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010402_02_103315,DISSOLVED OXYGEN,154,489,Dissolved Oxygen,Grande Ronde
OR_SR_1706010402_02_103315,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010403_02_103318,DISSOLVED OXYGEN,154,489,Dissolved Oxygen,Grande Ronde
OR_SR_1706010403_02_103318,PH,124,489,pH,Grande Ronde
OR_SR_1706010403_02_103318,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010403_02_103585,"SEDIMENT
",172,489,Sedimentation,NA
OR_SR_1706010404_02_103553,DISSOLVED OXYGEN,154,489,Dissolved Oxygen,Grande Ronde
OR_SR_1706010404_02_103553,EXCESS ALGAL GROWTH,173,489,Excess Algal Growth,Grande Ronde
OR_SR_1706010404_02_103553,PH,124,489,pH,Grande Ronde
OR_SR_1706010404_02_103553,PHOSPHORUS,126,489,Phosphorus,Grande Ronde
OR_SR_1706010404_02_103553,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010404_02_103587,EXCESS ALGAL GROWTH,173,489,Excess Algal Growth,NA
OR_SR_1706010404_02_103587,PH,124,489,pH,NA
OR_SR_1706010404_02_103587,PHOSPHORUS,126,489,Phosphorus,NA
OR_SR_1706010405_02_103323,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010405_02_103325,DISSOLVED OXYGEN,154,489,Dissolved Oxygen,Grande Ronde
OR_SR_1706010405_02_103325,EXCESS ALGAL GROWTH,173,489,Excess Algal Growth,Grande Ronde
OR_SR_1706010405_02_103325,PH,124,489,pH,Grande Ronde
OR_SR_1706010405_02_103325,PHOSPHORUS,126,489,Phosphorus,Grande Ronde
OR_SR_1706010405_02_103327,"SEDIMENT
",172,489,Sedimentation,NA
OR_SR_1706010407_02_103329,EXCESS ALGAL GROWTH,173,489,Excess Algal Growth,NA
OR_SR_1706010407_02_103329,PHOSPHORUS,126,489,Phosphorus,NA
OR_SR_1706010407_02_103329,"SEDIMENT
",172,489,Sedimentation,NA
OR_SR_1706010407_02_103330,DISSOLVED OXYGEN,154,489,Dissolved Oxygen,NA
OR_SR_1706010407_02_103330,EXCESS ALGAL GROWTH,173,489,Excess Algal Growth,NA
OR_SR_1706010407_02_103330,PH,124,489,pH,NA
OR_SR_1706010407_02_103330,PHOSPHORUS,126,489,Phosphorus,NA
OR_SR_1706010409_02_103336,EXCESS ALGAL GROWTH,173,489,Excess Algal Growth,NA
OR_SR_1706010409_02_103336,PH,124,489,pH,NA
OR_SR_1706010409_02_103336,PHOSPHORUS,126,489,Phosphorus,NA
OR_SR_1706010409_02_103336,"SEDIMENT
",172,489,Sedimentation,NA
OR_SR_1706010410_02_103337,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
OR_SR_1706010411_02_103339,DISSOLVED OXYGEN,154,489,Dissolved Oxygen,Grande Ronde
OR_SR_1706010411_02_103339,ESCHERICHIA COLI (E. COLI),76,39294,E. coli,Grande Ronde
OR_SR_1706010411_02_103339,EXCESS ALGAL GROWTH,173,489,Excess Algal Growth,Grande Ronde
OR_SR_1706010411_02_103339,PH,124,489,pH,Grande Ronde
OR_SR_1706010411_02_103339,PHOSPHORUS,126,489,Phosphorus,Grande Ronde
OR_SR_1706010411_02_103339,"SEDIMENT
",172,489,Sedimentation,Grande Ronde
