ASSESSMENT_UNIT_ID,PARAM_NAME,Pollu_ID,ACTION_ID,Pollutant_DEQ.WQS,OWRD_Basin
OR_SR_1801020409_05_107184,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_SR_1801020409_05_107184,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,Klamath
OR_SR_1801020409_05_107184,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_SR_1801020409_05_107184,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,Klamath
OR_SR_1801020409_05_107184,PH,124,42375,pH,Klamath
OR_SR_1801020409_05_107184,PH,124,OR_TMDL_20190116,pH,Klamath
OR_SR_1801020409_05_107184,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_SR_1801020409_05_107188,AMMONIA,6,42375,Ammonia,NA
OR_SR_1801020409_05_107188,AMMONIA,6,OR_TMDL_20190116,Ammonia,NA
OR_SR_1801020409_05_107188,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_SR_1801020412_05_106990,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_SR_1801020412_05_106990,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_SR_1801020412_05_106990,PH,124,42375,pH,Klamath
OR_SR_1801020412_05_106990,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_SR_1801020412_88_106991,AMMONIA,6,42375,Ammonia,Klamath
OR_SR_1801020412_88_106991,AMMONIA,6,OR_TMDL_20190116,Ammonia,Klamath
OR_SR_1801020412_88_106991,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_SR_1801020412_88_106991,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,Klamath
OR_SR_1801020412_88_106991,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_SR_1801020412_88_106991,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,Klamath
OR_SR_1801020412_88_106991,HARMFUL ALGAL BLOOMS,174,42375,Harmful Algal Blooms,Klamath
OR_SR_1801020412_88_106991,HARMFUL ALGAL BLOOMS,174,OR_TMDL_20190116,Harmful Algal Bloom,Klamath
OR_SR_1801020412_88_106991,PH,124,42375,pH,Klamath
OR_SR_1801020412_88_106991,PH,124,OR_TMDL_20190116,pH,Klamath
OR_SR_1801020412_88_106991,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_SR_1801020412_88_106992,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_SR_1801020412_88_106992,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,Klamath
OR_SR_1801020412_88_106992,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_SR_1801020412_88_106992,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,Klamath
OR_SR_1801020412_88_106992,HARMFUL ALGAL BLOOMS,174,42375,Harmful Algal Blooms,Klamath
OR_SR_1801020412_88_106992,HARMFUL ALGAL BLOOMS,174,OR_TMDL_20190116,Harmful Algal Bloom,Klamath
OR_SR_1801020601_05_106993,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_SR_1801020602_05_107165,AMMONIA,6,42375,Ammonia,Klamath
OR_SR_1801020602_05_107165,AMMONIA,6,OR_TMDL_20190116,Ammonia,Klamath
OR_SR_1801020602_05_107165,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_SR_1801020602_05_107165,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,Klamath
OR_SR_1801020602_05_107165,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_SR_1801020602_05_107165,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,Klamath
OR_SR_1801020602_05_107165,PH,124,42375,pH,Klamath
OR_SR_1801020602_05_107165,PH,124,OR_TMDL_20190116,pH,Klamath
OR_SR_1801020602_05_107165,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_SR_1801020602_05_107167,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_SR_1801020602_05_107167,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,Klamath
OR_SR_1801020602_05_107167,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_SR_1801020602_05_107167,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,Klamath
OR_SR_1801020602_05_107167,PH,124,42375,pH,Klamath
OR_SR_1801020602_05_107167,PH,124,OR_TMDL_20190116,pH,Klamath
OR_SR_1801020602_05_107167,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_SR_1801020604_05_106994,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_SR_1801020604_05_106995,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_SR_1801020604_05_106996,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_SR_1801020604_05_106998,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_SR_1801020604_05_106999,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_WS_180102010101_05_107010,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102010102_05_107011,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102010103_05_107012,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102010104_05_107013,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102010105_05_107014,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102010401_05_107026,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102010407_05_107032,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102010502_05_107033,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102010604_05_107038,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102020101_05_107040,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020202_05_107044,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020204_05_107046,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020207_05_107049,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020304_05_107053,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020401_05_107054,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020402_05_107055,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020403_05_107056,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020405_05_107058,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102020406_05_107059,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102020501_05_107060,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020504_05_107063,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020506_05_107065,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020507_05_107066,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102020708_05_107080,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102030101_05_107088,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_WS_180102030101_05_107088,PH,124,2352,pH,Klamath
OR_WS_180102030101_05_107088,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102030102_05_107089,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_WS_180102030102_05_107089,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102030104_05_107091,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_WS_180102030104_05_107091,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102030105_05_107092,DISSOLVED OXYGEN,154,2352,Dissolved Oxygen,Klamath
OR_WS_180102030105_05_107092,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102030301_05_107096,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102030302_05_107097,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102030303_05_107098,TEMPERATURE,132,2352,Temperature,NA
OR_WS_180102030309_05_107104,TEMPERATURE,132,2352,Temperature,Klamath
OR_WS_180102040201_05_107168,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_WS_180102040401_05_107170,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_WS_180102040402_05_107105,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_WS_180102040403_05_107172,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_WS_180102040503_05_107108,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_WS_180102040505_05_107110,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_WS_180102040704_05_107120,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_WS_180102041202_05_107133,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_WS_180102041202_05_107133,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,Klamath
OR_WS_180102041202_05_107133,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_WS_180102041202_05_107133,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,Klamath
OR_WS_180102041202_05_107133,PH,124,42375,pH,Klamath
OR_WS_180102041202_05_107133,PH,124,OR_TMDL_20190116,pH,Klamath
OR_WS_180102041202_05_107133,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_WS_180102041403_05_107134,AMMONIA,6,42375,Ammonia,Klamath
OR_WS_180102041403_05_107134,AMMONIA,6,OR_TMDL_20190116,Ammonia,Klamath
OR_WS_180102041403_05_107134,CHLOROPHYLL-A,40,42375,Chlorophyll-a,Klamath
OR_WS_180102041403_05_107134,CHLOROPHYLL-A,40,OR_TMDL_20190116,Chlorophyll-a,Klamath
OR_WS_180102041403_05_107134,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_WS_180102041403_05_107134,DISSOLVED OXYGEN,154,OR_TMDL_20190116,Dissolved Oxygen,Klamath
OR_WS_180102041403_05_107134,PH,124,42375,pH,Klamath
OR_WS_180102041403_05_107134,PH,124,OR_TMDL_20190116,pH,Klamath
OR_WS_180102041403_05_107134,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_WS_180102060202_05_107141,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,NA
OR_WS_180102060202_05_107141,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_WS_180102060401_05_107143,AMMONIA,6,42375,Ammonia,Klamath
OR_WS_180102060401_05_107143,DISSOLVED OXYGEN,154,42375,Dissolved Oxygen,Klamath
OR_WS_180102060401_05_107143,ESCHERICHIA COLI (E. COLI),76,35887,E. coli,Klamath
OR_WS_180102060401_05_107143,PH,124,42375,pH,Klamath
OR_WS_180102060401_05_107143,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_WS_180102060403_05_107145,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_WS_180102060404_05_107146,TEMPERATURE,132,OR_TMDL_20190919,Temperature,NA
OR_WS_180102060405_05_107147,TEMPERATURE,132,OR_TMDL_20190919,Temperature,Klamath
OR_LK_1705011607_05_100553,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_LK_1705011613_05_100568,DISSOLVED OXYGEN,154,39782,Dissolved Oxygen,Malheur
OR_LK_1705011613_05_100568,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_LK_1705011613_05_100568,FECAL COLIFORM,86,39782,Fecal Coliform,Malheur
OR_LK_1705011803_05_100573,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_SR_1705010311_02_103231,"4,4'-DDD",48,10007,"DDD 4,4'",Malheur
OR_SR_1705010311_02_103231,"4,4'-DDE",49,10007,"DDE 4,4'",Malheur
OR_SR_1705010311_02_103231,"4,4'-DDT",50,10007,"DDT 4,4'",Malheur
OR_SR_1705010311_02_103231,DIELDRIN,66,10007,Dieldrin,Malheur
OR_SR_1705010311_02_103231,DISSOLVED OXYGEN,154,10791,Dissolved Oxygen,Malheur
OR_SR_1705010311_02_103231,"SEDIMENT
",172,10791,Sedimentation,Malheur
OR_SR_1705010311_02_103231,TEMPERATURE,132,10007,Temperature,Malheur
OR_SR_1705011502_02_103230,"4,4'-DDD",48,10007,"DDD 4,4'",NA
OR_SR_1705011502_02_103230,"4,4'-DDE",49,10007,"DDE 4,4'",NA
OR_SR_1705011502_02_103230,"4,4'-DDT",50,10007,"DDT 4,4'",NA
OR_SR_1705011502_02_103230,DIELDRIN,66,10007,Dieldrin,NA
OR_SR_1705011502_02_103230,TEMPERATURE,132,10007,Temperature,NA
OR_SR_1705011502_05_102745,DISSOLVED OXYGEN,154,39782,Dissolved Oxygen,Malheur
OR_SR_1705011502_05_102745,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_SR_1705011502_05_102745,FECAL COLIFORM,86,39782,Fecal Coliform,Malheur
OR_SR_1705011607_05_102752,DISSOLVED OXYGEN,154,39782,Dissolved Oxygen,Malheur
OR_SR_1705011607_05_102752,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_SR_1705011613_05_102759,DISSOLVED OXYGEN,154,39782,Dissolved Oxygen,Malheur
OR_SR_1705011613_05_102759,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_SR_1705011613_05_102759,FECAL COLIFORM,86,39782,Fecal Coliform,Malheur
OR_SR_1705011702_05_103270,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_SR_1705011702_05_103270,FECAL COLIFORM,86,39782,Fecal Coliform,Malheur
OR_SR_1705011704_05_102767,DISSOLVED OXYGEN,154,39782,Dissolved Oxygen,Malheur
OR_SR_1705011704_05_102767,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_SR_1705011704_05_102767,FECAL COLIFORM,86,39782,Fecal Coliform,Malheur
OR_SR_1705011706_05_102769,DISSOLVED OXYGEN,154,39782,Dissolved Oxygen,Malheur
OR_SR_1705011706_05_102769,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_SR_1705011706_05_102769,FECAL COLIFORM,86,39782,Fecal Coliform,Malheur
OR_SR_1705011801_05_102770,FECAL COLIFORM,86,39782,Fecal Coliform,NA
OR_SR_1705011801_05_102771,FECAL COLIFORM,86,39782,Fecal Coliform,NA
OR_SR_1705011803_05_102775,FECAL COLIFORM,86,39782,Fecal Coliform,NA
OR_SR_1705011803_05_102777,DISSOLVED OXYGEN,154,39782,Dissolved Oxygen,Malheur
OR_SR_1705011803_05_102777,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_SR_1705011904_05_102785,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_SR_1705011904_05_102785,FECAL COLIFORM,86,39782,Fecal Coliform,Malheur
OR_SR_1705020101_02_103229,"4,4'-DDD",48,10007,"DDD 4,4'",NA
OR_SR_1705020101_02_103229,"4,4'-DDE",49,10007,"DDE 4,4'",NA
OR_SR_1705020101_02_103229,"4,4'-DDT",50,10007,"DDT 4,4'",NA
OR_SR_1705020101_02_103229,DIELDRIN,66,10007,Dieldrin,NA
OR_SR_1705020101_02_103229,TEMPERATURE,132,10007,Temperature,NA
OR_WS_170501150101_05_102966,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501150102_05_103233,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501150103_05_103232,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501150104_05_103269,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501150201_05_102967,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501150201_05_102967,FECAL COLIFORM,86,39782,Fecal Coliform,Malheur
OR_WS_170501150203_05_102968,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501150203_05_102968,FECAL COLIFORM,86,39782,Fecal Coliform,Malheur
OR_WS_170501150204_05_103272,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501161302_05_103029,DISSOLVED OXYGEN,154,39782,Dissolved Oxygen,Malheur
OR_WS_170501161302_05_103029,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501161305_05_103032,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501170403_05_103057,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501170601_05_103063,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501170602_05_103064,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501170603_05_103065,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501180101_05_103066,FECAL COLIFORM,86,39782,Fecal Coliform,NA
OR_WS_170501180304_05_103079,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501190602_05_103095,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170501190603_05_103096,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170502010101_05_103097,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_WS_170502010106_05_103227,ESCHERICHIA COLI (E. COLI),76,39782,E. coli,Malheur
OR_SR_1712000906_05_106508,TEMPERATURE,132,9767,Temperature,NA
OR_SR_1712000906_05_106509,TEMPERATURE,132,9767,Temperature,NA
OR_WS_171200090106_05_106956,TEMPERATURE,132,9767,Temperature,NA
OR_WS_171200090201_05_106866,TEMPERATURE,132,9767,Temperature,NA
OR_WS_171200090209_05_106874,TEMPERATURE,132,9767,Temperature,NA
OR_WS_171200090305_05_106880,TEMPERATURE,132,9767,Temperature,NA
OR_WS_171200090405_05_106887,ESCHERICHIA COLI (E. COLI),76,9767,E. coli,Malheur Lake
OR_WS_171200090602_05_106895,TEMPERATURE,132,9767,Temperature,NA
OR_WS_171002060804_02_106406,DISSOLVED OXYGEN,154,2036,Dissolved Oxygen,Mid Coast
OR_CL_1710020102_106275,FECAL COLIFORM,86,9447,Fecal Coliform,North Coast
OR_CL_1710020102_106279,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_EB_1710020101_01_100300,FECAL COLIFORM,86,9447,Fecal Coliform,NA
OR_EB_1710020101_01_107210,FECAL COLIFORM,86,9447,Fecal Coliform,North Coast
OR_EB_1710020101_01_107211,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,NA
OR_EB_1710020101_01_107212,FECAL COLIFORM,86,9447,Fecal Coliform,North Coast
OR_EB_1710020101_01_107213,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,NA
OR_EB_1710020206_01_100299,FECAL COLIFORM,86,9447,Fecal Coliform,North Coast
OR_EB_1710020206_01_100299,TEMPERATURE,132,9447,Temperature,North Coast
OR_EB_1710020206_01_107214,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_EB_1710020206_01_107214,FECAL COLIFORM,86,9447,Fecal Coliform,North Coast
OR_EB_1710020206_01_107214,TEMPERATURE,132,9447,Temperature,North Coast
OR_EB_1710020302_01_100295,DISSOLVED OXYGEN,154,2238,Dissolved Oxygen,North Coast
OR_EB_1710020302_01_100295,ESCHERICHIA COLI (E. COLI),76,2238,E. coli,North Coast
OR_EB_1710020302_01_100295,FECAL COLIFORM,86,2238,Fecal Coliform,North Coast
OR_EB_1710020302_01_100295,TEMPERATURE,132,2238,Temperature,North Coast
OR_EB_1710020302_01_107215,DISSOLVED OXYGEN,154,2238,Dissolved Oxygen,North Coast
OR_EB_1710020302_01_107215,FECAL COLIFORM,86,2238,Fecal Coliform,North Coast
OR_EB_1710020302_01_107216,DISSOLVED OXYGEN,154,2238,Dissolved Oxygen,North Coast
OR_EB_1710020302_01_107216,ESCHERICHIA COLI (E. COLI),76,2238,E. coli,North Coast
OR_EB_1710020302_01_107216,FECAL COLIFORM,86,2238,Fecal Coliform,North Coast
OR_EB_1710020302_01_107216,TEMPERATURE,132,2238,Temperature,North Coast
OR_EB_1710020308_01_100298,FECAL COLIFORM,86,1380,Fecal Coliform,North Coast
OR_EB_1710020308_01_100298,TEMPERATURE,132,1380,Temperature,North Coast
OR_EB_1710020308_01_107225,FECAL COLIFORM,86,1380,Fecal Coliform,North Coast
OR_EB_1710020308_01_107225,TEMPERATURE,132,1380,Temperature,North Coast
OR_EB_1710020309_01_100296,DISSOLVED OXYGEN,154,2238,Dissolved Oxygen,North Coast
OR_EB_1710020309_01_100297,FECAL COLIFORM,86,1380,Fecal Coliform,North Coast
OR_LK_1708000605_04_100320,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1708000605_04_100320,FECAL COLIFORM,86,9447,Fecal Coliform,Columbia River
OR_LK_1708000605_04_100320,TEMPERATURE,132,9447,Temperature,Columbia River
OR_LK_1708000605_04_100320,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,Columbia River
OR_LK_1708000605_04_100323,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_LK_1708000605_04_100323,FECAL COLIFORM,86,9447,Fecal Coliform,Columbia River
OR_LK_1708000605_04_100323,TEMPERATURE,132,9447,Temperature,Columbia River
OR_LK_1708000605_04_100323,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,Columbia River
OR_LK_1710020302_05_100157,"SEDIMENT
",172,2238,Sedimentation,NA
OR_LK_1710020302_05_100157,TEMPERATURE,132,2238,Temperature,NA
OR_LK_1710020303_05_100158,FECAL COLIFORM,86,1380,Fecal Coliform,NA
OR_LK_1710020303_05_100158,TEMPERATURE,132,1380,Temperature,NA
OR_SR_1708000305_05_103619,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_SR_1708000305_05_103619,FECAL COLIFORM,86,9447,Fecal Coliform,North Coast
OR_SR_1708000305_05_103619,TEMPERATURE,132,9447,Temperature,North Coast
OR_SR_1708000308_05_103693,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_SR_1708000309_04_100663,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_SR_1708000309_04_100663,TEMPERATURE,132,9447,Temperature,Columbia River
OR_SR_1708000309_04_100663,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,Columbia River
OR_SR_1708000309_04_100665,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_SR_1708000309_04_100665,TEMPERATURE,132,9447,Temperature,Columbia River
OR_SR_1708000309_04_100665,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,Columbia River
OR_SR_1708000309_04_100666,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",Columbia River
OR_SR_1708000309_04_100666,TEMPERATURE,132,9447,Temperature,Columbia River
OR_SR_1708000309_04_100666,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,Columbia River
OR_SR_1708000309_04_100667,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",NA
OR_SR_1708000309_04_100667,TEMPERATURE,132,9447,Temperature,NA
OR_SR_1708000309_04_100667,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,NA
OR_SR_1708000309_04_100668,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",NA
OR_SR_1708000309_04_100668,TEMPERATURE,132,9447,Temperature,NA
OR_SR_1708000309_04_100668,TOTAL DISSOLVED GAS,155,3753,Total Dissolved gas,NA
OR_SR_1708000309_04_100675,DIOXIN,74,319,"Dioxin (2,3,7,8-TCDD)",NA
OR_SR_1708000309_04_100675,TEMPERATURE,132,9447,Temperature,NA
OR_SR_1708000601_05_103687,TEMPERATURE,132,9447,Temperature,NA
OR_SR_1708000602_05_100319,FECAL COLIFORM,86,9447,Fecal Coliform,NA
OR_SR_1708000602_05_100322,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_SR_1708000602_05_100322,FECAL COLIFORM,86,9447,Fecal Coliform,North Coast
OR_SR_1708000602_05_100324,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_SR_1708000602_05_100324,TEMPERATURE,132,9447,Temperature,North Coast
OR_SR_1708000602_05_103678,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_SR_1708000602_05_103678,FECAL COLIFORM,86,9447,Fecal Coliform,North Coast
OR_SR_1708000605_04_100325,FECAL COLIFORM,86,9447,Fecal Coliform,NA
OR_SR_1710020101_05_105827,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_SR_1710020101_05_105827,TEMPERATURE,132,9447,Temperature,North Coast
OR_SR_1710020101_05_105829,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_SR_1710020101_05_105830,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_SR_1710020101_05_105832,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,NA
OR_SR_1710020201_05_106295,TEMPERATURE,132,9447,Temperature,NA
OR_SR_1710020201_05_106441,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_SR_1710020201_05_106441,TEMPERATURE,132,9447,Temperature,North Coast
OR_SR_1710020202_05_106220,TEMPERATURE,132,9447,Temperature,North Coast
OR_SR_1710020202_05_106221,TEMPERATURE,132,9447,Temperature,NA
OR_SR_1710020202_05_106442,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,North Coast
OR_SR_1710020202_05_106442,TEMPERATURE,132,9447,Temperature,North Coast
OR_SR_1710020203_05_105834,TEMPERATURE,132,9447,Temperature,North Coast
OR_SR_1710020204_05_105835,TEMPERATURE,132,9447,Temperature,North Coast
OR_SR_1710020205_05_105837,TEMPERATURE,132,9447,Temperature,NA
OR_SR_1710020205_05_105841,TEMPERATURE,132,9447,Temperature,NA
OR_SR_1710020205_05_105847,FECAL COLIFORM,86,9447,Fecal Coliform,North Coast
OR_SR_1710020205_05_105847,TEMPERATURE,132,9447,Temperature,North Coast
OR_SR_1710020205_05_105848,TEMPERATURE,132,9447,Temperature,NA
OR_SR_1710020206_05_105850,TEMPERATURE,132,9447,Temperature,North Coast
OR_SR_1710020206_05_105852,TEMPERATURE,132,9447,Temperature,NA
OR_SR_1710020206_05_105854,FECAL COLIFORM,86,9447,Fecal Coliform,NA
OR_SR_1710020206_05_105856,FECAL COLIFORM,86,9447,Fecal Coliform,North Coast
OR_SR_1710020206_05_105860,ESCHERICHIA COLI (E. COLI),76,9447,E. coli,NA
OR_SR_1710020206_05_105860,TEMPERATURE,132,9447,Temperature,NA
OR_SR_1710020206_05_105864,TEMPERATURE,132,9447,Temperature,North Coast
OR_SR_1710020301_05_105867,FECAL COLIFORM,86,2238,Fecal Coliform,NA
OR_SR_1710020302_05_105869,DISSOLVED OXYGEN,154,2238,Dissolved Oxygen,North Coast
OR_SR_1710020302_05_105869,ESCHERICHIA COLI (E. COLI),76,2238,E. coli,North Coast
OR_SR_1710020302_05_105869,TEMPERATURE,132,2238,Temperature,North Coast
OR_SR_1710020302_05_105871,"SEDIMENT
",172,2238,Sedimentation,NA
OR_SR_1710020302_05_105871,TEMPERATURE,132,2238,Temperature,NA
OR_SR_1710020302_05_105874,DISSOLVED OXYGEN,154,2238,Dissolved Oxygen,North Coast
OR_SR_1710020302_05_105874,ESCHERICHIA COLI (E. COLI),76,2238,E. coli,North Coast
