"OrganizationID","MLocID","AU_ID","OWRD_Basin","SampleStartDate","SampleStartTime","Statistical_Base","Result_UID","IRResultNWQSunit","DO_sat"
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2011-12-02",NA,NA,34284207,11.2,100
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-09-01",NA,NA,34283932,9.2,90.4
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-09-01",NA,NA,34283932,9.2,90.4
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-10-21",NA,NA,34283957,8.9,83.7
"WARMSPRINGS09","Bridge 99","OR_SR_1707030109_05_101716","Deschutes","2010-10-21",NA,NA,34283957,8.9,83.7
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2009-08-28",NA,NA,34305660,12.9,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2009-08-28",NA,NA,34305660,12.9,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2009-09-25",NA,NA,34305680,12.9,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2009-09-25",NA,NA,34305680,12.9,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2010-08-24",NA,NA,34306328,12.5,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2010-08-24",NA,NA,34306328,12.5,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2010-12-08",NA,NA,34306711,11.7,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2010-12-08",NA,NA,34306711,11.7,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2011-09-30",NA,NA,34307729,12,100
"WARMSPRINGS09","Candle Creek","OR_WS_170703010909_05_102320","Deschutes","2011-09-30",NA,NA,34307729,12,100
"1119USBR_WQX","CRO153","OR_SR_1707030505_05_102589","Deschutes","2013-05-07","10:05:00.0000000",NA,30512091,12.6,100
