AU_ID,Period,num_cats
OR_WS_170703050501_05_102463,Year round,1
OR_WS_170703060304_05_102508,Year round,1
OR_WS_170703060904_05_102524,Year round,2
OR_WS_170703060907_05_102592,Year round,1
OR_WS_170703061106_05_102537,Year round,1
OR_WS_170703070101_05_102544,Year round,1
OR_WS_170703070102_05_102545,Spawn,1
OR_WS_170703070102_05_102545,Year round,1
OR_WS_170703070103_05_102546,Spawn,1
OR_WS_170703070103_05_102546,Year round,2
OR_WS_170800010101_02_103635,Year round,1
OR_WS_170800010202_02_103638,Year round,1
OR_WS_170800010302_02_103640,Year round,1
OR_WS_170800010401_02_103643,Spawn,1
OR_WS_170800010401_02_103643,Year round,1
OR_WS_170800010502_11_103647,Year round,1
OR_WS_170800010503_11_103648,Year round,1
OR_WS_170800010505_11_103669,Year round,1
OR_WS_170800010701_02_103651,Year round,1
OR_WS_170800010801_15_103707,Spawn,1
OR_WS_170800010801_15_103707,Year round,1
OR_WS_170800010802_15_103653,Year round,1
OR_WS_170800010803_15_103654,Spawn,1
OR_WS_170800010803_15_103654,Year round,2
OR_WS_170800030405_05_103656,Year round,1
OR_WS_170800030406_05_103657,Year round,1
OR_WS_170800030502_05_103659,Year round,1
OR_WS_170800030503_05_103660,Year round,1
OR_WS_170900010101_02_104185,Year round,1
OR_WS_170900010102_02_104186,Year round,1
OR_WS_170900010105_02_104189,Year round,1
OR_WS_170900010106_02_104190,Year round,1
OR_WS_170900010501_02_104199,Year round,1
OR_WS_170900010502_02_104200,Year round,1
OR_WS_170900010505_02_104202,Year round,1
OR_WS_170900010607_02_104209,Year round,1
OR_WS_170900010608_02_104210,Year round,1
OR_WS_170900010904_02_104219,Year round,1
OR_WS_170900010905_02_104220,Year round,1
OR_WS_170900020203_02_104229,Year round,1
OR_WS_170900020401_02_104238,Year round,1
OR_WS_170900030109_02_104251,Year round,1
OR_WS_170900030110_02_104252,Year round,1
OR_WS_170900030204_02_104256,Year round,2
OR_WS_170900030503_02_104277,Year round,2
OR_WS_170900030504_02_104278,Year round,2
OR_WS_170900030507_02_104281,Year round,1
OR_WS_170900030603_02_104290,Year round,2
OR_WS_170900040104_02_104303,Year round,1
OR_WS_170900040105_02_104304,Year round,1
OR_WS_170900040202_02_104306,Year round,1
OR_WS_170900040203_02_104307,Year round,1
OR_WS_170900040204_02_104308,Year round,1
OR_WS_170900040205_02_104309,Year round,1
OR_WS_170900040206_02_104310,Year round,2
OR_WS_170900040209_02_104313,Year round,1
OR_WS_170900040301_02_104314,Year round,1
OR_WS_170900040303_02_104316,Year round,1
OR_WS_170900040304_02_104317,Year round,2
OR_WS_170900040307_02_104320,Year round,2
OR_WS_170900040308_02_104321,Year round,1
OR_WS_170900040402_02_104323,Year round,2
OR_WS_170900040403_02_104324,Spawn,1
OR_WS_170900040403_02_104324,Year round,2
OR_WS_170900040502_02_104326,Spawn,1
OR_WS_170900040502_02_104326,Year round,1
OR_WS_170900050301_02_104351,Year round,1
OR_WS_170900050604_02_104362,Year round,1
OR_WS_170900060204_02_104370,Year round,1
OR_WS_170900060205_02_104371,Year round,1
OR_WS_170900060305_02_104379,Year round,1
OR_WS_170900070203_02_104411,Year round,2
OR_WS_170900070204_02_104412,Year round,1
OR_WS_170900070301_02_104413,Spawn,1
OR_WS_170900070301_02_104413,Year round,1
OR_WS_170900070303_02_104415,Year round,2
OR_WS_170900090102_02_104455,Spawn,1
OR_WS_170900090102_02_104455,Year round,1
OR_WS_170900090108_02_104461,Year round,1
OR_WS_170900090601_02_104482,Year round,1
OR_WS_170900100204_02_104495,Year round,2
OR_WS_170900100302_02_104499,Year round,1
OR_WS_170900100401_02_104506,Year round,1
OR_WS_170900100502_02_104513,Spawn,1
OR_WS_170900100502_02_104513,Year round,1
OR_WS_170900110103_02_104518,Year round,1
OR_WS_170900110201_02_104523,Year round,1
OR_WS_170900110203_02_104525,Year round,1
