"MLocID","StationDes","Lat_DD","Long_DD","AU_ID","MonLocType","Period","OWRD_Basin","data_period_start","data_period_end","IR_category","total_violations","max_violations_3yr","max_3yr_results_in_crit_period","total_spawn_violations","max_spawn_violations_3yr"
"37346-ORDEQ","Johnson Creek Tributary just east of 307th & Orient St.",45.46069918,-122.3450013,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2012-06-19,2012-10-22,"Cat5",61,61,92,NA,NA
"37348-ORDEQ","Badger Creek at Telford Rd. north of Haley",45.44496926,-122.3851558,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2011-08-11,2015-08-31,"Cat5",56,56,154,NA,NA
"37356-ORDEQ","Clatsop Creek at mouth (@ confl. w/Kelly Cr.)",45.47023336,-122.4956611,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2012-06-19,2013-10-22,"Cat5",92,92,137,NA,NA
"37365-ORDEQ","Errol Springs Creek @ mouth off SE 42nd St. (T-23)",45.46354204,-122.6175771,"OR_WS_170900120103_02_104552","River/Stream","Year round","Willamette",2012-06-19,2013-10-03,"Cat2",0,0,176,NA,NA
"37371-ORDEQ","Kelley Creek @ Richey Road  (T-30)",45.46587749,-122.4768017,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2013-06-19,2013-10-22,"Cat5",94,94,92,NA,NA
"37372-ORDEQ","Mitchell Creek @ Old Race Track (T-32)",45.46680095,-122.4913992,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2012-06-28,2016-07-20,"Cat5",377,273,223,NA,NA
"37375-ORDEQ","Unnamed Johnson Creek Tributary @ SE 287th St., betwn. Stone & Wheeler Rds. (T-36)",45.4589015,-122.3676458,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2012-06-19,2012-11-07,"Cat2",0,0,92,NA,NA
"37376-ORDEQ","Spring Creek @ mouth, outlet to Johnson Creek near Hwy. 224 (T-37)",45.4487,-122.6427,"OR_WS_170900120103_02_104552","River/Stream","Year round","Willamette",2017-05-24,2017-10-11,"Cat5",76,76,92,NA,NA
"37377-ORDEQ","Spring Creek @ Harrison Road, Milwaukie, OR",45.446,-122.6396,"OR_WS_170900120103_02_104552","River/Stream","Year round","Willamette",2012-06-11,2012-11-05,"Cat2",0,0,92,NA,NA
"37378-ORDEQ","Sunshine Creek @ SE Rugg Road, east of sharp bend",45.45994606,-122.4026488,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2014-06-17,2015-10-26,"Cat5",150,150,184,NA,NA
"37379-ORDEQ","Sunshine Creek @ Sunshine Valley Road, just east of SE 242nd St.",45.44675867,-122.4134499,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2011-08-11,2012-11-07,"Cat5",46,46,143,NA,NA
"37380-ORDEQ","Sunshine Creek, North Fork, @ SE 242nd St. no. of Sunshine Valley Road",45.44724151,-122.4138072,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2011-08-11,2013-10-07,"Cat5",212,212,235,NA,NA
"37423-ORDEQ","North powder River d/s of Antone Creek",44.98586633,-118.088604,"OR_WS_170502030502_05_103177","River/Stream","Year round","Powder",2016-05-17,2017-03-14,"Cat2",0,0,92,NA,NA
"37425-ORDEQ","Wolf Creek 3.5 miles u/s of Wolf Creek Reservoir",45.0953,-118.0743,"OR_WS_170502030601_05_103181","River/Stream","Year round","Powder",2017-05-12,2017-10-17,"Cat5",89,89,92,NA,NA
"37426-ORDEQ","wolf Creek @ Hwy. I-84",45.04321648,-117.9360025,"OR_WS_170502030602_05_103182","River/Stream","Year round","Powder",2017-06-24,2017-10-17,"Cat5",50,50,92,NA,NA
"37428-ORDEQ","Clear Creek at Gulick Road",44.86608397,-117.0529233,"OR_WS_170502010603_05_103104","River/Stream","Year round","Powder",2017-06-12,2017-10-16,"Cat5",115,115,92,NA,NA
"37523-ORDEQ","Newsome Cr at Shotgun Rd",44.14495937,-120.4666163,"OR_WS_170703040604_05_102438","River/Stream","Year round","Deschutes",2010-08-02,2010-10-26,"Cat5",33,33,60,NA,NA
"37543-ORDEQ","Butler Creek at SW Towle Ave and SW Butler Road (T-48)",45.46988104,-122.4473807,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2011-08-11,2011-10-03,"Cat2",0,0,51,NA,NA
"37702-ORDEQ","Elk Cr at RM 2.4 near Baker City",44.73288015,-117.8844987,"OR_WS_170502030204_05_103160","River/Stream","Year round","Powder",2017-06-28,2017-10-25,"Cat2",0,0,92,NA,NA
"37728-ORDEQ","Silver Cr below Fruit Cr",44.80893178,-118.2119452,"OR_WS_170502030101_05_103151","River/Stream","Year round","Powder",2017-05-28,2017-10-06,"Cat2",0,0,92,NA,NA
"37730-ORDEQ","Deer Cr above Alder Cr",44.73581032,-118.0996171,"OR_WS_170502030105_05_103155","River/Stream","Year round","Powder",2017-05-28,2017-10-25,"Cat2",0,0,92,NA,NA
"37788-ORDEQ","Silver Cr above Erin Cr",44.854217,-118.2688287,"OR_WS_170502030101_05_103151","River/Stream","Year round","Powder",2017-06-28,2017-10-06,"Cat5",9,9,92,NA,NA
"37789-ORDEQ","Clear Cr below Deadrick Ditch",44.9510192,-117.126464,"OR_WS_170502010603_05_103104","River/Stream","Year round","Powder",2017-06-20,2017-10-16,"Cat5",86,86,92,NA,NA
"37790-ORDEQ","East Pine at Gulick Lane",44.87480021,-117.0529806,"OR_WS_170502010605_05_103106","River/Stream","Year round","Powder",2017-07-24,2017-10-16,"Cat5",48,48,69,NA,NA
"38046-ORDEQ","Mehl Creek at Mehl Road",43.57950984,-123.5947279,"OR_WS_171003030208_02_105318","River/Stream","Year round","Umpqua",2016-07-05,2017-10-02,"Cat5",42,42,175,NA,NA
"38089-ORDEQ","Edson Ck  East Fork below Powerline Crossing",42.492572,-124.387284,"OR_WS_171003100803_02_104698","River/Stream","Year round","Rogue",2016-07-06,2016-09-26,"Cat2",0,0,83,NA,NA
"38306-ORDEQ","Murphy Cr at Mouth",43.60902007,-124.1128101,"OR_WS_171003040401_02_105044","River/Stream","Year round","South Coast",2015-06-11,2015-08-26,"Cat5",21,21,57,NA,NA
"38495-ORDEQ","Deer Cr near mouth (WF Millicoma R)",43.5821885,-123.9595136,"OR_WS_171003040204_02_106398","River/Stream","Year round","South Coast",2014-06-18,2014-10-06,"Cat5",32,32,92,NA,NA
"38496-ORDEQ","Otter Creek near Mouth (WF Millicoma R)",43.58069897,-123.9635824,"OR_WS_171003040204_02_106398","River/Stream","Year round","South Coast",2014-06-18,2014-10-06,"Cat2",0,0,92,NA,NA
"38502-ORDEQ","Joe's Cr near Mouth",43.57365746,-123.963897,"OR_WS_171003040204_02_106398","River/Stream","Year round","South Coast",2014-06-18,2014-10-06,"Cat2",0,0,82,NA,NA
"38539-ORDEQ","Clear Branch below Laurance Lake at Gauging Station",45.46164288,-121.6534134,"OR_WS_170701050504_02_101999","River/Stream","Year round","Hood",2009-04-26,2012-11-12,"Cat5",75,42,185,NA,NA
"38540-ORDEQ","Clear Branch at Laurance Lake Spillway Pool",45.4602305,-121.6563831,"OR_WS_170701050504_02_101999","River/Stream","Year round","Hood",2009-04-26,2012-11-12,"Cat5",110,68,185,NA,NA
"38597-ORDEQ","Panther Creek at Deerlane Dr",45.00930483,-123.91046482,"OR_WS_171002040803_02_106178","River/Stream","Year round","Mid Coast",2015-07-01,2015-07-22,"Cat2",0,0,22,NA,NA
"38667-ORDEQ","Badger Cr",45.45624761,-122.38284818,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2016-05-10,2016-11-09,"Cat5",50,50,92,NA,NA
"38673-ORDEQ","Mitchell Cr above Centennial School Pond",45.46460822,-122.49136193,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2013-07-09,2016-08-08,"Cat5",134,119,277,NA,NA
"38676-ORDEQ","Kelley Cr above Clatsop Cr",45.47023099,-122.4950591,"OR_WS_170900120101_02_104550","River/Stream","Year round","Willamette",2013-06-12,2013-10-22,"Cat5",90,90,92,NA,NA
