OBJECTID,AU_ID,AU_Name,AU_WBType,AU_UseCode,AU_LenMile,AU_AreaAcr,HUC12,AQWMS_NUM,AQWMS_TXT
6674,OR_WS_180102010303_05_107025,Big Springs Creek,460,5,88.46509735,0,1.80102E+11,107025,107025
6675,OR_WS_180102010401_05_107026,Upper Jack Creek,460,5,40.87727087,0,1.80102E+11,107026,107026
6676,OR_WS_180102010402_05_107027,Dillon Creek,460,5,13.84276382,0,1.80102E+11,107027,107027
6677,OR_WS_180102010403_05_107028,Lower Jack Creek,460,5,60.22028694,0,1.80102E+11,107028,107028
6678,OR_WS_180102010404_05_107029,Mosquito Creek,460,5,40.60628004,0,1.80102E+11,107029,107029
6679,OR_WS_180102010405_05_107030,Skellock Draw,460,5,47.03645267,0,1.80102E+11,107030,107030
6680,OR_WS_180102010406_05_107031,Scott Creek,460,5,25.30918553,0,1.80102E+11,107031,107031
6681,OR_WS_180102010407_05_107032,Wildhorse Ridge-Williamson River,460,5,190.604771,0,1.80102E+11,107032,107032
6682,OR_WS_180102010502_05_107033,Sand Creek,460,5,40.45605362,0,1.80102E+11,107033,107033
6683,OR_WS_180102010503_05_107034,Yoss Creek,460,5,21.21394934,0,1.80102E+11,107034,107034
6684,OR_WS_180102010504_05_107182,Klamath Marsh-Williamson River,460,5,35.70073344,0,1.80102E+11,107182,107182
6685,OR_WS_180102010505_05_107035,Town of Fuego-Williamson River,460,5,12.07835994,0,1.80102E+11,107035,107035
6686,OR_WS_180102010601_05_107036,Hog Creek,460,5,48.98220669,0,1.80102E+11,107036,107036
6687,OR_WS_180102010602_05_107180,Egan Spring-Williamson River,460,5,9.555032052,0,1.80102E+11,107180,107180
6688,OR_WS_180102010603_05_107037,Spring Creek,460,5,19.57517091,0,1.80102E+11,107037,107037
6689,OR_WS_180102010604_05_107038,Larkin Creek-Williamson River,460,5,24.42636435,0,1.80102E+11,107038,107038
6690,OR_WS_180102010605_05_107039,Lobert Draw-Williamson River,460,5,50.92217885,0,1.80102E+11,107039,107039
6691,OR_WS_180102020101_05_107040,Paradise Creek,460,5,44.99689327,0,1.80102E+11,107040,107040
