AU_ID,ben_use_code
OR_SR_1705020106_05_102793,5
OR_SR_1706010505_02_103359,2
OR_WS_170900110306_02_104533,2
OR_WS_170701050506_02_102001,2
OR_LK_1710030404_02_100224,2
OR_WS_171003010808_02_105661,2
OR_WS_171002030902_05_106219,5
OR_SR_1707020109_05_101547,5
OR_LK_1707010106_88_100133,88
OR_WS_170601050105_02_103487,2
OR_WS_171003020205_02_105684,2
OR_WS_180102010604_05_107038,5
OR_SR_1712000703_05_106501,5
OR_WS_171003120201_02_104687,2
OR_WS_171002050703_02_106165,2
OR_SR_1709001104_02_104154,2
OR_SR_1707020207_05_101592,5
OR_WS_170701050201_02_101980,2
OR_WS_170702020102_05_102088,5
OR_SR_1709000506_02_103930,2
OR_SR_1709000404_02_104571,2
OR_SR_1709000305_02_103828,2
OR_WS_170703040402_05_102431,5
OR_SR_1709000407_02_103891,2
OR_CL_1710020102_106276,5
OR_SR_1710030707_04_105506,4
OR_WS_180102030101_05_107088,2
OR_SR_1710020701_02_104935,2
OR_WS_170900010502_02_104200,2
OR_WS_170601060203_02_103522,2
OR_SR_1707010301_02_101469,2
OR_SR_1710020408_02_105996,2
OR_CL_1710030605_105043,3
OR_SR_1710031003_02_104796,2
OR_WS_170502020301_05_103123,5
OR_WS_171003100802_02_104680,2
OR_WS_171200070304_05_106772,5
OR_WS_171200070102_05_106764,5
OR_SR_1708000102_02_103600,2
OR_SR_1710030108_02_105338,2
OR_WS_170900070104_02_104405,2
OR_SR_1709000202_02_103775,2
OR_WS_170701050503_02_101998,2
OR_WS_171002070102_02_106386,2
OR_SR_1709000804_02_104047,2
OR_LK_1709000107_02_100699,2
OR_SR_1707020203_05_101574,5
OR_EB_1710020607_01_107222,1
OR_WS_180200010104_05_102681,5
OR_WS_170703070205_05_102557,5
OR_SR_1710030108_02_105341,2
OR_SR_1710030801_02_105534,2
OR_LK_1709000402_02_100745,2
OR_LK_1710020606_02_100168,2
OR_SR_1709000608_02_103994,2
OR_WS_171002050202_02_106151,2
OR_SR_1710030203_02_105389,2
OR_WS_171200060103_05_106741,5
OR_SR_1710020401_02_105950,2
OR_SR_1709001002_02_104104,2
OR_WS_170900080501_02_104439,2
OR_SR_1710020406_02_105980,2
OR_SR_1710020506_02_106054,2
OR_WS_170703060202_05_102504,5
OR_SR_1710020603_02_105061,2
OR_EB_1710020309_01_100297,5
OR_WS_170800030406_05_103657,5
OR_WS_171002030903_05_106125,5
OR_WS_170703020205_05_102343,5
OR_SR_1707020206_05_101590,5
OR_WS_170703051102_05_102501,5
OR_WS_170701020104_16_101866,16
OR_LK_1707010106_88_100132,88
OR_SR_1710030504_02_104985,2
OR_WS_170900040301_02_104314,2
OR_SR_1707010211_16_101466,16
OR_SR_1709001004_02_104134,2
OR_SR_1709000903_02_104075,2
OR_WS_170800010506_11_103650,11
OR_LK_1707010106_88_100146,88
OR_WS_170800010401_02_103643,2
OR_SR_1710020504_02_106045,2
OR_WS_170800010803_15_103654,15
OR_SR_1710030213_02_105102,2
OR_WS_180102010502_05_107033,5
OR_SR_1709000403_02_103864,2
OR_SR_1709000701_02_104004,2
OR_SR_1708000602_05_100322,5
OR_WS_171003030204_02_105278,2
OR_SR_1712000602_05_106498,5
OR_LK_1710030404_02_100220,2
OR_WS_170900050604_02_104362,2
OR_SR_1710030206_02_105417,2
OR_WS_170703010909_05_102320,5
OR_SR_1710020306_05_105924,5
OR_SR_1710030504_02_106381,2
OR_WS_170900080701_02_104451,2
OR_WS_171002050503_02_106173,2
OR_WS_170800010502_11_103647,11
OR_SR_1710030604_02_104630,2
OR_SR_1710020606_02_106222,2
OR_SR_1710030501_02_105238,2
OR_WS_180102040603_05_107116,5
OR_LK_1707010504_88_100139,88
OR_SR_1709001104_02_104152,2
OR_SR_1709000302_02_103806,2
OR_SR_1801020204_05_106973,5
OR_SR_1710030301_02_105440,2
OR_SR_1707010201_16_101456,16
OR_WS_170900020303_02_104234,2
OR_SR_1710030205_02_106333,99
OR_SR_1710030801_02_105548,2
OR_WS_170702040304_05_102199,5
OR_CL_1710030605_105038,3
OR_SR_1706010403_02_103317,2
OR_SR_1705020307_05_102822,5
OR_SR_1706010405_02_103326,2
OR_WS_170601041003_02_103476,2
OR_SR_1710020304_05_105903,5
OR_WS_170800010803_15_103654,2
OR_SR_1710030505_02_104991,2
OR_SR_1710030302_02_105111,2
OR_WS_170703010904_05_102315,5
OR_SR_1709000901_02_104595,2
OR_SR_1709000906_02_104091,2
OR_EB_1710020407_01_107219,1
OR_SR_1712000601_05_106496,5
OR_SR_1712000704_05_106502,5
OR_SR_1707010211_16_101465,16
OR_WS_171003010504_02_105646,2
OR_SR_1709000806_02_104052,2
OR_WS_170702030201_05_102157,5
OR_WS_170702020103_05_102089,5
OR_WS_170900120104_02_104553,2
OR_SR_1707010503_02_101507,2
OR_SR_1710030301_02_105436,2
OR_WS_170900030604_02_104291,2
OR_SR_1710020504_02_106042,2
OR_SR_1709000109_02_103743,2
OR_WS_170703070102_05_102545,5
OR_WS_170502031102_05_103212,5
OR_SR_1707010313_02_101492,2
OR_SR_1707010401_02_102605,2
OR_SR_1705020201_05_102802,5
OR_SR_1705020306_05_102821,5
OR_SR_1710030111_02_106415,2
OR_WS_171003070809_02_105755,2
OR_WS_170703010104_05_102269,5
OR_WS_170703010703_05_102299,5
